knot name,braid rep,min cell count from kht++,greedy matching cell count,lex matching cell count,total cell count of delooped complex
12a_8,{-1;2;-1;2;-3;4;2;2;-3;-3;-3;4},796,798,798,14884
12a_9,{-1;2;-1;2;-3;-4;5;3;-4;2;5;2;-3},1270,1454,2656,20008
12a_10,{-1;2;-1;2;3;4;4;5;3;-4;-2;5;-2;-3;5},2254,3144,5784,129760
12a_11,{-1;2;-1;2;3;-4;-4;3;-4;-2;-4;-2;-4;-3},1270,1472,1896,97936
12a_12,{-1;2;-1;-2;-3;-3;-2;-2;3;4;-5;-3;4;-5;4},2166,2600,6088,116064
12a_13,{-1;2;-1;2;3;-4;3;3;-4;3;-4;-2;-2;-3},1990,2232,2904,60624
12a_14,{-1;2;-1;2;3;-4;3;-4;3;-4;-2;-4;-2;-3},1926,2128,2776,65568
12a_15,{-1;2;-1;2;3;-4;3;3;-4;3;-2;-2;-3;-4},1298,1380,3076,58208
12a_16,{-1;2;-1;2;-3;4;-3;4;-3;2;2;-3},1182,1184,1184,10464
12a_17,{-1;2;-1;2;-3;4;4;-3;4;2;2;-3},1054,1056,1056,12112
12a_18,{-1;2;-1;2;3;3;3;-4;3;-4;3;-2;-2;-3},1526,1608,2216,77424
12a_19,{-1;2;-1;2;3;-4;3;-4;-4;-4;3;-2;-2;-3},1542,1704,2392,70896
12a_20,{-1;2;-1;2;3;3;3;-4;-4;3;-4;-2;-2;-3},1606,1728,2136,76192
12a_21,{-1;2;-1;2;3;3;4;4;3;3;-4;2;2;-3},930,1448,2464,65920
12a_22,{-1;2;-1;2;3;-4;-5;3;4;-5;-4;3;-2;-2;-3},2534,2872,8208,94688
12a_23,{-1;-2;3;1;-2;-4;5;3;-4;3;1;-4;-2;-5;-4;3;2},4386,7120,31232,414920
12a_24,{-1;2;-1;2;-3;4;2;2;-3;4;4;4},704,706,706,17668
12a_25,{-1;2;-1;2;3;4;-5;-3;4;-5;4;3;-2;-2;-3},2766,3280,8208,94688
12a_26,{-1;2;-1;2;3;-4;-4;-4;-4;3;-4;-2;-2;-3},1118,1320,1760,100528
12a_27,{-1;2;-1;2;3;-4;-5;4;-5;-4;3;-4;-2;-2;-3},2358,2928,7616,107104
12a_28,{-1;2;-1;2;3;-4;5;3;-4;2;5;2;-3},1638,1960,2656,20008
12a_29,{-1;2;-1;2;-3;-4;-4;-3;2;2;-3;4;-3;-4},1226,1368,3168,57616
12a_30,{-1;2;-1;2;3;-4;-4;3;3;3;-4;-2;-2;-3},1478,1680,2264,72544
12a_31,{-1;2;-1;2;-3;4;5;2;2;-3;-4;5;4},1410,1412,2408,22072
12a_32,{-1;2;-1;2;3;4;-5;-5;4;3;-4;-5;-2;-2;-3},1846,2808,7256,106800
12a_33,{-1;2;-1;2;3;3;3;-4;-4;3;-2;-2;-3;-4},1014,1076,2280,72096
12a_34,{-1;2;-1;2;3;3;3;3;3;3;2;2;-3},334,366,404,80384
12a_35,{-1;2;-1;2;3;3;3;4;-3;4;3;2;2;-3},786,898,2216,77424
12a_36,{-1;2;-1;2;3;4;4;3;3;3;4;2;2;-3},878,1386,2264,72544
12a_37,{-1;2;-1;2;3;4;-3;4;4;4;3;2;2;-3},642,874,2392,70896
12a_38,{-1;2;-1;2;3;4;5;-3;-4;5;4;3;2;2;-3},982,1340,8208,94688
12a_39,{1;-2;-2;3;-4;1;1;-2;-2;3;-2;-4},926,928,928,13344
12a_40,{1;-2;-2;-3;4;1;4;1;-3;2;2;3;4;-2},1118,1200,2576,67664
12a_41,{-1;-1;-1;-2;-2;1;-2;3;-2;-2;-1;3;3},490,552,740,52576
12a_42,{-1;2;-1;-2;-3;-3;4;4;-3;-3;4;-2;-2;3},1246,1368,2464,65920
12a_43,{-1;4;4;2;-3;2;2;1;4;3;1;3;2;2},1472,1492,2024,86656
12a_44,{1;2;2;-3;1;-3;4;-2;4;5;1;3;5;-4;5},2610,2808,5496,129344
12a_45,{1;2;2;3;-4;1;-4;1;-2;-3;-3;-4;-4;-4},734,1076,1672,93072
12a_46,{-1;5;4;4;3;-2;5;-2;5;-4;-3;-3;-2;-1;2},1438,2084,5728,119840
12a_47,{1;-2;3;1;3;4;-2;4;5;3;5;-4;5},1658,1716,2100,23680
12a_48,{1;-2;-2;3;-4;1;1;-2;3;-2;3;-4},1174,1176,1176,10400
12a_49,{1;-2;-2;-3;-4;1;-4;1;-3;-2;-2;3;-4;3;-2;4},1662,2400,7696,334336
12a_50,{1;2;2;3;-4;1;-4;1;-2;-4;-4;-3;-3;-4},622,788,1496,101232
12a_51,{-1;-2;-3;-3;4;-2;4;5;3;5;-2;-1;-4;5;2},2262,2672,6288,119648
12a_52,{1;2;2;3;1;3;1;1;1;1;-2;3;1},278,412,448,88376
12a_53,{1;2;2;3;1;3;1;3;4;-3;-2;4;3;3},758,1092,1808,93984
12a_54,{-1;2;-3;-4;-1;2;-3;-1;4;-3;5;4;4;5;5},1778,2736,6580,115920
12a_55,{1;2;2;3;4;1;4;1;4;-3;-2;4;3;3},790,1164,1952,84240
12a_56,{1;-2;1;2;3;4;4;5;3;-4;2;5;2;-3;5},1726,2422,5784,129760
12a_57,{1;-2;-3;1;-3;-4;-2;-4;5;3;5;-4;5},1734,1776,2100,23680
12a_58,{-1;4;-3;-3;2;-1;4;-1;4;-3;2;2},822,824,824,14112
12a_59,{1;-2;1;-2;3;3;2;2;-3;4;-3;-3;4;4},1534,1596,2060,78176
12a_60,{-1;-3;4;-3;-3;-2;4;-2;4;3;3;2;-1;2},1422,1564,2480,67376
12a_61,{1;-2;-2;3;1;3;1;3;-4;-2;3;-4},770,772,772,15084
12a_62,{-1;2;3;-4;-1;-4;5;3;5;2;-4;5;-3},1766,1824,2484,21208
12a_63,{1;-3;4;-3;-3;2;4;2;4;3;3;-2;1;-2},1722,1876,2480,67376
12a_64,{1;1;-2;-3;1;-3;4;2;4;5;2;3;5;-4;5},3222,3536,4504,156064
12a_65,{1;2;2;3;-4;1;-4;1;-2;-4;-3;-3;-4;-4},758,1032,1704,91128
12a_66,{1;-2;-2;3;4;1;1;2;-3;2;-3;4;-3;-3},1942,2088,2760,65040
12a_67,{-1;-3;4;-3;-3;-3;-2;-2;4;3;3;2;-1;2},1086,1288,2176,78512
12a_68,{-1;-4;5;-4;-3;5;4;2;-3;2;-1;-3;2},2494,2496,3136,17344
12a_69,{-1;-3;-3;-3;-2;-2;3;-4;3;-4;3;2;-1;2},1582,1664,2368,74928
12a_70,{-1;-3;-3;-3;-2;-2;-4;3;-4;-4;3;2;-1;2},1342,1364,2208,80864
12a_71,{-1;4;-3;4;2;-3;2;2;2;-1;-3;2},990,992,992,12416
12a_72,{-1;5;-3;-2;-4;3;2;5;2;-4;3;-1;-4;3;2},2878,3252,8592,94240
12a_73,{-1;2;-1;2;3;-4;5;3;2;2;-3;4;-3;-4;5},2382,3240,8032,96952
12a_74,{-1;2;3;-1;3;-4;-4;3;-2;-2;3;-4;-2;-3},2042,2168,2972,60008
12a_75,{-1;-4;-3;4;-3;2;2;3;4;4;3;3;3;2;-1;2},1306,2140,6880,354480
12a_76,{1;2;3;-4;-5;3;-4;-2;3;-4;5;4;4;3;2;1;-2},2470,3664,28032,459476
12a_77,{1;-2;-2;1;1;-2;3;-4;-2;3;-4;3},1038,1040,1040,11376
12a_78,{-1;-2;-2;1;-2;3;-2;-2;3;3;-2;-2;-1},734,736,1040,39440
12a_79,{1;-2;-2;1;1;-2;3;-2;3;-4;3;-2;3;4},2390,2392,3048,57904
12a_80,{1;2;2;1;1;-2;-3;4;2;-3;-3;-3;4;-3},894,1172,2024,82416
12a_81,{1;2;-3;4;4;5;5;-4;-3;4;-2;5;1;-2;-3},2226,2644,8112,96256
12a_82,{-1;2;2;1;1;2;3;3;4;2;-3;2;4;4},886,1032,2200,76640
12a_83,{1;-2;3;4;1;4;5;3;5;-2;-4;5;3},1714,1896,2484,21208
12a_84,{1;-2;-2;1;1;-2;3;-4;-2;-4;3;-4},902,904,904,13048
12a_85,{-1;-2;-2;-2;-2;1;-2;3;-2;-2;-1;3;3},434,484,652,59800
12a_86,{1;-2;-2;1;1;-2;3;-2;-3;-3;-4;3;-4;-3},838,840,2128,78976
12a_87,{1;-2;-2;1;1;-2;3;-4;-2;3;-2;-4},1006,1008,1008,12308
12a_88,{1;2;2;1;1;-2;-3;4;-3;2;-3;4;-3;4},1502,2026,3088,57232
12a_89,{1;-2;-2;-3;4;-3;1;4;1;-2;-3;-3;-2;-4;3;-2},2910,3672,8792,294264
12a_90,{1;3;4;4;2;-3;2;1;4;-3;1;-3;-2;-2},1378,1824,2500,71280
12a_91,{1;2;2;1;1;-2;-3;4;-3;4;2;-3;4;4},1262,1706,2592,67824
12a_92,{1;2;2;3;-4;1;-4;1;-2;-3;-3;-3;-3;-4},814,1032,1552,97056
12a_93,{1;1;1;2;2;3;1;3;1;1;-2;3;1},398,476,568,75032
12a_94,{1;2;2;3;1;3;1;3;-2;3;4;-3;4;3},662,808,1904,92384
12a_95,{1;-2;3;4;-2;4;1;5;-2;5;3;-4;5},2046,2080,2384,22064
12a_96,{1;2;2;3;4;-3;1;4;1;-2;3;3;3;3},502,810,1584,103488
12a_97,{1;2;3;4;4;5;3;5;2;-4;5;-3;2;1;-2},1734,2552,7536,106240
12a_98,{1;-2;-2;3;1;1;-2;3;-4;3;-4;3},1006,1008,1008,12032
12a_99,{1;-2;-2;3;-4;1;1;-2;3;-4;-4;3},982,984,984,11848
12a_100,{-1;2;2;-3;-4;-5;-3;4;2;1;-5;2;-3;4;-3;2;-4},3318,5500,27170,464476
12a_101,{1;2;2;1;1;-2;-3;4;-3;2;-3;-3;4;-3},1262,1688,2592,69296
12a_102,{1;2;2;3;1;3;-4;1;3;-2;3;4;4;3},1030,1252,2472,70880
12a_103,{-1;2;-3;4;-1;4;5;3;5;2;-3;-4;5;2;-3},2778,3168,7268,107912
12a_104,{1;-2;-2;-3;4;-1;4;-1;-3;-2;-2;3;4;-2},1382,1432,2576,67664
12a_105,{1;2;2;1;1;-2;-3;4;2;4;-3;4;4;4},726,956,1616,104152
12a_106,{1;-2;1;2;3;3;2;2;-3;-4;5;3;5;-4;5},1906,2292,5292,133120
12a_107,{1;2;2;3;-4;3;1;3;1;-2;3;4;4;3},1110,1360,2488,70424
12a_108,{1;2;2;1;1;-2;-3;4;2;-3;-3;4;-3;4},1126,1476,2544,65144
12a_109,{-1;-2;3;4;-2;4;-1;5;2;5;-3;-3;-3;-4;5},2050,2764,4864,151664
12a_110,{1;-2;3;4;1;-2;1;4;5;3;5;-4;5},1866,1924,2324,22544
12a_111,{1;2;2;1;1;-2;-3;4;2;-3;4;-3;4;4},1070,1404,2408,70160
12a_112,{1;-2;-2;3;-4;1;1;-2;3;-4;-4;-4},714,716,716,16212
12a_113,{1;-2;-2;3;1;3;4;1;2;-3;2;4;-3;-2},1402,1452,2924,61628
12a_114,{-1;2;3;4;-1;4;5;3;5;3;4;2;-3;-4;5},1964,2524,6880,109784
12a_115,{1;2;2;1;1;-2;-3;4;-3;-3;2;-3;4;-3},1342,1808,2656,67616
12a_116,{1;-2;-2;-3;1;1;2;3;-4;-2;-2;3;-2;-4},862,1088,2528,71204
12a_117,{1;-2;-3;1;2;2;-3;4;2;4;5;3;5;-4;5},3586,4316,5892,124800
12a_118,{-1;2;-3;-4;-1;2;-4;5;5;-4;-3;4;5},1338,1396,2464,20696
12a_119,{1;-2;-2;3;1;3;4;1;2;-3;-2;4;4;3},894,1136,2536,68752
12a_120,{1;2;2;1;1;-2;-3;4;-3;-3;4;2;-3;4},1398,1880,2792,61128
12a_121,{-1;-2;3;-4;-2;-4;-1;5;2;5;3;-4;5},1242,1448,2384,22064
12a_122,{1;-2;-2;3;-4;1;1;-2;-2;-2;3;-4},778,780,780,14652
12a_123,{-1;2;-3;-1;-3;2;-3;4;-3;-3;-3;4},748,750,750,16804
12a_124,{-1;2;-3;-1;-3;2;-3;4;5;-3;-4;5;-4},1894,2028,2424,22200
12a_125,{-1;2;3;-1;3;4;-5;6;2;-3;-4;-4;-5;6},-2,3312,5280,40480
12a_126,{-1;2;-3;-1;-3;4;2;4;-3;4;-3;4},1020,1022,1022,11876
12a_127,{-1;2;3;-1;3;4;2;4;4;-5;-3;4;-5},1602,1632,1902,25900
12a_128,{-1;2;3;-1;3;4;5;-6;2;-3;-4;5;4;-6},-2,3048,5864,38312
12a_129,{-1;2;-3;-1;-3;4;2;4;4;-3;4;4},676,678,678,17844
12a_130,{1;-2;1;2;-3;-3;4;-5;2;2;-3;4;-5},1602,1604,2276,21696
12a_131,{-1;2;-1;2;-3;4;-3;-3;4;-3;4;-2;-2;3},2218,2220,2904,60624
12a_132,{-1;2;-1;2;-3;4;-3;4;-3;4;-2;4;-2;3},2150,2152,2776,65568
12a_133,{-1;2;-3;-1;-3;4;2;-3;4;-3;-3;4},1044,1046,1046,11636
12a_134,{-1;3;-4;3;3;3;-2;-2;-4;-3;-3;2;-1;2},1462,1576,2176,78512
12a_135,{-1;4;-5;4;3;-5;-4;3;-2;-2;-3;-3;2;-1;2},3358,3552,6496,111648
12a_136,{-1;2;-3;-1;2;-3;2;4;-3;-3;-3;4},982,984,984,12400
12a_137,{-1;4;-3;4;-3;-3;2;-3;2;-1;-3;2},974,976,976,13248
12a_138,{-1;4;4;4;-3;4;2;-3;2;-1;-3;2},910,912,912,13760
12a_139,{-1;-3;4;-3;4;4;2;-3;2;-1;-3;2},1230,1232,1232,10208
12a_140,{-1;4;5;-4;-3;5;4;2;-3;2;-1;-3;2},1822,1824,3136,17344
12a_141,{1;2;2;1;1;-2;-3;2;-3;-3;4;-3;4;-3},910,1184,2128,78976
12a_142,{1;2;2;1;1;-2;-3;4;2;4;4;-3;4;-3},902,1188,2000,81864
12a_143,{1;1;1;1;1;2;2;3;1;3;-2;3;1},294,316,464,81656
12a_144,{1;2;2;3;1;1;-2;3;3;3;4;-3;4;3},550,704,1712,98768
12a_145,{1;2;2;3;1;1;-2;3;4;4;4;-3;4;3},734,932,2048,78296
12a_146,{1;-2;-2;1;1;-2;-2;-2;-2;-2;-2;-2},98,100,100,67820
12a_147,{-1;-2;-2;3;3;-2;-2;-2;-2;-2;-1;2;3},402,412,512,71184
12a_148,{-1;-1;-1;-2;-2;3;3;-2;-2;-2;-1;2;3},474,484,680,57240
12a_149,{1;2;2;1;1;-2;-3;2;-3;4;-3;4;4;-3},1030,1344,2376,68392
12a_150,{1;-2;-2;3;1;1;-2;-3;-4;-3;-4;-3;-2;3;-2;4},854,1048,9040,290304
12a_151,{1;2;-3;4;4;5;5;-4;-3;4;2;5;1;-2;-3},1746,2140,8112,96256
12a_152,{1;2;3;4;4;5;3;5;-4;5;3;2;1;-2;-3},1538,2340,7440,108240
12a_153,{1;-2;-2;1;1;-2;-2;-2;-3;-4;2;3;-4;-3},838,840,1808,90240
12a_154,{-1;-2;3;4;2;4;2;5;3;-1;5;2;-4;5;3},2650,2840,6628,119176
12a_155,{-1;2;-3;2;5;-4;1;2;3;-4;-5;4;-3;4;-3;2;2},3354,6196,24696,501392
12a_156,{1;1;2;-1;2;3;-2;-2;-4;3;2;5;4;4;3;5;5},2186,3024,12912,859116
12a_157,{1;2;2;1;1;-2;-3;4;-3;4;2;-3;-3;-3},1022,1368,2096,79888
12a_158,{1;2;2;1;1;-2;-3;4;2;4;4;4;-3;4},670,884,1480,109168
12a_159,{1;2;-3;4;2;4;5;5;-4;-3;2;4;1;5;-2},2018,2260,7020,116924
12a_160,{-1;-1;-1;-1;-1;-2;-2;3;3;-2;-1;2;3},258,268,528,69024
12a_161,{1;-2;-2;1;1;-2;-3;2;-3;-3;-4;3;-4;-3},726,728,2128,78976
12a_162,{-1;2;2;3;-2;-1;3;4;2;4;5;3;5;-4;5},2738,2808,6116,120464
12a_163,{1;5;-4;5;3;5;4;-2;4;-3;1;-3;2;-3;2},3570,4328,5736,127896
12a_164,{1;2;2;1;1;-2;-3;4;2;4;-3;-3;-3;4},870,1144,1944,79912
12a_165,{1;-2;-3;4;1;4;5;5;-4;-3;4;-2;1;5;3},2150,2604,7444,106240
12a_166,{1;2;2;1;1;-2;-3;-3;-3;4;2;4;-3;4},982,1328,1912,82648
12a_167,{-1;-1;2;3;-1;-1;-1;-2;-2;3;3;-2;-1},476,546,830,50574
12a_168,{-1;2;-1;-2;-3;4;4;-3;-3;-3;4;-2;-2;3},1078,1236,2264,72544
12a_169,{-1;2;-1;-2;-3;-4;5;5;-4;-3;4;5;-2;-2;3},1438,2192,7256,106800
12a_170,{-1;2;3;-1;3;4;2;-3;4;-5;4;-5;4},1886,1968,2440,21528
12a_171,{-1;2;3;-1;3;4;-5;2;-3;4;-5;-5;4},1870,1944,2388,21304
12a_172,{-1;2;-3;-1;-3;2;-3;-3;-3;4;-3;4},640,642,642,19204
12a_173,{-1;2;-3;-1;-3;2;-3;4;-3;4;4;4},696,698,698,17476
12a_174,{-1;2;-3;-1;-3;2;-3;4;4;-3;4;-3},960,962,962,12644
12a_175,{-1;2;-3;4;-1;4;3;-4;5;-4;2;-4;-3;-5;-5},2342,2704,5568,132648
12a_176,{-1;2;-3;-1;-3;2;-3;4;5;-3;-4;5;4},1394,1396,2424,22200
12a_177,{-1;5;-4;3;-4;-5;4;-3;4;-3;2;-3;-1;-3;2},2958,3680,6816,120992
12a_178,{-1;2;3;-1;3;4;-5;2;-3;4;-5;-5;-5},1362,1416,1738,29164
12a_179,{-1;2;-3;-1;-3;4;2;-3;4;4;4;4},568,570,570,20244
12a_180,{-1;2;-3;-1;-3;4;2;-3;4;5;-4;5;4},1218,1220,2440,21528
12a_181,{-1;2;3;-1;-2;3;2;-4;5;-6;3;-4;5;-6},-2,3072,6696,33040
12a_182,{-1;2;-1;2;-3;4;4;-3;-3;-3;4;-2;-2;3},1682,1684,2264,72544
12a_183,{-1;2;3;-1;3;4;-5;2;-3;4;-5;-6;5;-6},-2,3192,5506,39412
12a_184,{-1;2;-3;-1;2;2;-3;2;-3;4;-3;4},1076,1078,1078,11348
12a_185,{-1;2;-3;-1;2;2;-3;4;2;-3;4;4},1004,1006,1006,12388
12a_186,{-1;-4;3;-4;3;-2;-2;-3;-3;-3;-3;2;-1;2},1330,1372,1760,90960
12a_187,{-1;2;3;-4;-1;3;-4;-2;3;-2;-4;-5;4;-3;-5},4178,4600,8700,95056
12a_188,{-1;2;-1;2;-3;-3;-2;-2;3;-4;3;3;3;-4},1408,1470,1896,86000
12a_189,{-1;-4;3;-4;3;3;3;-2;-2;-3;-3;2;-1;2},1154,1196,1744,93456
12a_190,{-1;-4;-4;-4;3;-4;3;-2;-2;-3;-3;2;-1;2},1234,1308,1872,88080
12a_191,{-1;3;-4;3;-4;-4;3;-2;-2;-3;-3;2;-1;2},1698,1804,2576,64176
12a_192,{-1;-4;-5;4;3;-5;-4;3;-2;-2;-3;-3;2;-1;2},2470,2616,6496,111648
12a_193,{-1;2;-3;4;-1;2;-3;-3;-3;-3;-3;4},526,528,528,20760
12a_194,{-1;2;3;-1;-2;3;2;-4;3;-4;-4;-5;4;-5;-4},1294,1380,6264,123296
12a_195,{-1;2;3;-1;-2;3;2;-4;-4;-4;3;-4;-4;-4},802,828,1644,108496
12a_196,{-1;2;-3;-4;5;-1;3;-4;2;-4;-4;5;-3},1318,1324,2316,21976
12a_197,{-1;2;-3;4;-5;6;-1;2;-3;-5;6;-4;5;-4},-2,4884,6956,32280
12a_198,{-1;-4;-3;-5;4;-5;4;2;-3;4;2;-1;4;-3;2},6590,7136,8320,101152
12a_199,{-1;2;-1;2;-3;4;-3;2;2;3;4;4;-3;4;4;3},2050,2972,7360,344160
12a_200,{-1;-3;-4;-2;3;-2;-2;-2;3;-4;3;-1;3;2},1542,1628,2640,67984
12a_201,{-1;2;3;-1;3;4;-5;-4;3;-2;3;-2;-4;-3;-5},2676,2902,8694,93524
12a_202,{-1;2;-1;2;3;3;-4;-2;3;-2;3;-2;-4;-3},1982,2264,3424,53408
12a_203,{-1;2;-3;4;-1;-3;-3;-3;4;2;-3;2},986,988,988,12744
12a_204,{-1;2;-3;4;5;-1;-3;-4;5;-4;2;-3;2},2106,2316,3308,16824
12a_205,{-1;2;-1;2;2;2;3;3;3;3;2;2;-3},394,426,504,69560
12a_206,{1;-2;1;2;3;3;3;-4;3;-4;3;2;2;-3},1182,1256,2216,77424
12a_207,{-1;2;-3;-1;2;-3;-4;-3;2;2;2;-3;2;4},1000,1234,2710,68572
12a_208,{-1;2;3;-4;-1;3;-4;-5;-4;3;-4;-2;5;3;2},2186,2964,9340,87648
12a_209,{-1;2;-3;-1;2;-3;4;-3;2;-3;2;4},1376,1378,1378,9580
12a_210,{-1;2;2;3;1;3;4;1;4;3;3;-4;-2;-2;-3;2},1918,2496,5664,409392
12a_211,{-1;2;2;-1;-1;-1;2;-3;2;2;-1;3;3},650,652,836,44992
12a_212,{-1;2;-1;-2;3;3;4;-2;4;-2;3;3;-4;3},1114,1308,2276,72336
12a_213,{-1;4;4;2;-3;2;4;-3;-1;4;-3;2},1174,1176,1176,11456
12a_214,{-1;2;-3;4;-1;-3;-3;4;2;-3;2;4},1210,1212,1212,10736
12a_215,{-1;2;-1;2;3;-4;3;-4;3;-2;-2;-2;-2;-3},1422,1664,2032,82320
12a_216,{-1;2;-1;2;-3;4;2;2;2;2;-3;4},618,620,620,19480
12a_217,{-1;2;-1;2;-3;-4;-2;-4;3;3;-2;3;-4;3},1758,1900,2966,62148
12a_218,{-1;2;-1;2;-3;-4;5;2;3;-2;3;2;-4;3;5},1840,2408,8136,99768
12a_219,{-1;2;-1;2;3;-4;-4;3;-4;-2;-2;-2;-2;-3},1126,1488,1752,100960
12a_220,{-1;2;-3;4;-1;-3;4;2;2;2;-3;2},954,956,956,13320
12a_221,{1;-2;3;4;-5;1;-3;4;-5;4;-2;3;-2},1906,1932,3308,16824
12a_222,{-1;2;-3;4;-3;2;-3;2;-1;4;-3;2},1614,1616,1616,8432
12a_223,{-1;2;-3;-4;-5;-1;-2;3;-4;3;-4;5;-4;3;-2;3;4},5774,9888,31240,401280
12a_224,{-1;2;-3;2;4;-3;2;2;-1;4;-3;2},1318,1320,1320,10496
12a_225,{-1;2;-1;2;-3;-4;-2;-4;3;-2;3;-4;-2;3},2068,2150,3268,60728
12a_226,{-1;2;2;1;1;2;2;2;3;-4;-2;3;-4;3},926,1032,1808,90240
12a_227,{-1;2;3;4;4;3;-2;3;-4;3;3;2;-1;2},1154,1704,3496,53840
12a_228,{-1;2;-3;4;-3;-3;2;-3;-1;4;-3;2},1318,1320,1320,10496
12a_229,{-1;2;3;-4;-1;3;-4;-5;-4;3;-4;2;5;-3;2},2450,3736,9340,87648
12a_230,{-1;2;-3;4;-5;-1;-3;4;-5;-4;2;-3;2;-4;-4},3426,3774,7512,113816
12a_231,{-1;2;-1;2;2;2;3;4;4;3;2;2;-3;4;-3;-4},1126,1546,5508,465232
12a_232,{-1;2;2;-3;4;1;4;1;-2;3;3;-2;-4;3;3;2},2398,2940,6944,345728
12a_233,{1;-2;3;-4;1;-2;-2;3;-4;3;-2;3},1250,1252,1252,10368
12a_234,{-1;-1;-1;2;2;-1;2;-3;2;2;-1;3;3},578,580,740,52576
12a_235,{-1;2;2;-3;-4;3;1;-4;-3;1;2;2;-3;2},894,1080,2704,64080
12a_236,{-1;2;2;3;3;2;-1;2;2;2;2;2;-3},360,408,528,69984
12a_237,{-1;2;2;3;1;3;1;3;4;-3;4;3;-2;-2;-3;2},1530,1576,4944,493056
12a_238,{-1;2;2;1;1;2;-3;-4;2;3;3;3;-4;3},862,1136,2024,82416
12a_239,{-1;-2;3;4;4;5;5;4;-3;4;2;-5;-1;2;3},2250,2948,8112,96256
12a_240,{-1;-1;-1;-2;-2;3;1;3;-2;3;-2;-2;-1},634,636,840,46584
12a_241,{-1;2;-1;-2;-3;-3;-3;4;4;-3;4;-2;-2;3},1126,1212,2136,76192
12a_242,{1;-2;3;-4;-2;3;1;3;1;3;-2;-4},946,948,948,12844
12a_243,{-1;2;3;-4;5;-1;5;-4;3;-4;5;2;-3},2080,2146,2990,18092
12a_244,{1;-2;-2;-3;-4;3;-4;-3;-2;-2;3;1;-4;3;1;-2},1306,2228,9280,282304
12a_245,{1;-2;-3;-3;4;-3;2;-3;2;4;3;1;1;-2},1778,2086,3576,53552
12a_246,{-1;2;-3;4;-1;2;4;-3;2;4;4;4},710,712,712,18672
12a_247,{1;-2;1;2;-3;4;-5;2;2;-3;4;-5;4},1750,1752,2408,22072
12a_248,{-1;2;-3;4;-5;-1;-2;4;-5;-3;4;-3;-2;3;4},3350,3992,10144,81888
12a_249,{-1;2;3;-4;-5;-1;-3;-3;-3;4;-5;-4;2;-3;2},2428,2490,6436,121368
12a_250,{-1;2;-3;4;-1;2;4;2;2;-3;2;4},742,744,744,18096
12a_251,{-1;2;3;-4;5;-1;3;5;2;-4;5;-3;2},1816,1930,2738,20388
12a_252,{-1;2;-1;2;3;3;3;3;2;2;2;2;-3},386,458,496,69080
12a_253,{-1;2;3;-1;3;3;4;-3;4;2;2;2;-3;2},1284,1450,1810,96156
12a_254,{-1;2;-1;2;3;4;-3;4;3;2;2;2;2;-3},490,762,2032,82320
12a_255,{-1;2;3;4;5;5;4;-5;4;3;-4;2;-1;2;-3},1380,2944,8544,93608
12a_256,{-1;5;-4;3;2;-4;3;3;2;5;-4;-3;2;-1;2},3166,3696,9040,90344
12a_257,{1;-2;3;4;-5;1;-3;4;-5;4;3;-2;3},1802,1860,3180,17704
12a_258,{-1;2;-3;4;-1;2;-3;-3;-3;2;4;2},874,876,876,13584
12a_259,{1;-2;-3;4;-5;1;4;-5;4;-3;4;-2;3},2262,2312,3144,17544
12a_260,{-1;2;-3;-1;-2;3;-4;3;-2;3;-4;3;3;2},1520,1862,3658,53756
12a_261,{-1;2;-1;2;3;-4;3;-2;-4;3;3;-2;-4;-3},1986,2208,3612,51952
12a_262,{-1;2;-1;2;3;3;-4;3;-2;3;3;-2;-4;-3},1862,1964,3024,61360
12a_263,{-1;2;-3;4;-5;-1;2;3;3;3;4;-5;4},1762,1816,2140,23848
12a_264,{-1;2;-3;4;-1;2;-3;2;4;-3;2;4},1348,1350,1350,10676
12a_265,{-1;2;-3;4;-1;-3;2;-3;4;-3;2;4},1420,1422,1422,9412
12a_266,{-1;2;-3;2;2;2;1;1;1;2;-3;2;-3},690,708,948,42304
12a_267,{1;-3;-4;-2;3;-2;3;4;4;-2;4;3;3;2;1;-2},1814,2344,7656,349952
12a_268,{-1;3;4;2;-1;4;-1;-3;4;-2;3;-2;3;-2},1710,1872,3052,60540
12a_269,{-1;2;-1;2;3;-4;3;3;3;2;-4;3;3;2;4;-3},1682,2682,7208,355600
12a_270,{1;-2;1;2;3;-4;3;-4;5;4;-3;4;3;-5;2;2;-3},3166,3886,21864,511936
12a_271,{-1;4;-3;2;2;-4;2;-3;2;-1;-1;-4;-3;2},1126,1156,2608,71120
12a_272,{-1;4;-3;2;-4;-3;4;-5;4;-3;-1;-5;4;-3;2},2846,4466,9248,90168
12a_273,{-1;2;2;-3;1;-3;4;1;2;-3;2;-3;-4;-4},1630,1704,2536,68192
12a_274,{1;-2;-2;-2;-2;1;-2;3;-2;-2;1;-3;-3},510,512,652,59800
12a_275,{1;-2;-2;3;4;-1;4;-1;-2;-3;2;-3;4;-2;-3;-2},1334,1772,8184,329920
12a_276,{1;2;2;2;2;3;1;3;1;1;-2;3;1},426,504,540,75488
12a_277,{1;-2;1;2;3;3;3;3;4;2;2;-3;4;4},874,954,1516,103648
12a_278,{1;-2;-2;-2;-2;3;-4;1;1;-2;3;-4},670,672,672,16452
12a_279,{1;-2;-3;1;2;2;-3;-4;2;3;-4;-5;4;-5;-4},1954,2380,6856,111608
