knot name,braid rep,min cell count from kht++,greedy matching cell count,lex matching cell count,total cell count of delooped complex
11a_16,{1;1;-2;-2;1;-2;-2;-3;2;4;-3;4},612,614,754,16144
11a_17,{1;1;5;-4;5;-3;-3;-4;2;2;3;1;-2},1094,1204,2096,23872
11a_18,{-1;-1;4;3;3;3;4;2;2;-3;-1;2},592,626,774,15012
11a_19,{1;1;-2;1;-2;1;3;-2;-2;3;3},386,388,388,7376
11a_20,{1;1;-2;1;3;2;2;-4;3;3;3;-4},538,620,750,15444
11a_21,{1;1;-2;1;3;2;2;3;4;-3;-5;4;-5},1126,1128,2170,23444
11a_22,{1;1;1;-2;1;1;3;-2;-2;3;3},262,264,264,10648
11a_23,{1;1;1;2;-1;-3;2;4;-3;-3;4;4},572,574,690,17040
11a_24,{1;1;1;2;-1;-1;3;-2;-2;3;-2;3;-2},444,640,802,51652
11a_25,{1;1;1;2;-1;-1;3;-2;3;-2;3;3;-2},468,616,810,51148
11a_26,{1;1;3;-2;3;-2;-2;3;1;-2;-2},394,396,396,7440
11a_27,{-1;-1;-1;-2;1;3;-2;3;-2;-4;3;-4},730,732,884,14032
11a_28,{-1;-1;2;-1;2;2;2;-1;-3;2;-3},342,344,344,8144
11a_29,{-1;-1;2;-1;2;-1;3;-2;-1;-4;3;2;-4;3},810,1052,3524,55096
11a_30,{1;1;2;-1;2;-3;-2;1;-2;-2;3;-4;3;-4},988,1014,2690,68566
11a_31,{1;1;-2;1;3;2;2;3;3;-4;3;-4},496,596,798,14884
11a_32,{-1;-1;2;-1;2;-3;2;4;3;3;3;4},582,584,768,15400
11a_33,{1;1;-2;-2;1;-2;-2;-2;3;-2;3},248,250,250,11108
11a_34,{1;1;1;-2;1;-2;3;-2;-2;3;3},272,274,274,10148
11a_35,{1;1;-2;1;-2;-2;3;-2;-2;3;3},280,282,282,9980
11a_36,{-1;-1;-1;-2;1;-2;-2;-3;2;4;3;3;3;4},632,634,1344,121576
11a_37,{1;1;2;-1;-3;2;-3;4;-3;-3;4;4},624,626,802,15184
11a_38,{-1;-1;4;2;-3;4;2;-3;-3;1;2;-3;1;-2},1236,1394,3074,64524
11a_39,{-1;-1;-1;2;-1;-3;2;4;3;3;3;4},492,494,642,18324
11a_40,{1;1;1;1;-2;1;3;-2;-2;3;3},224,226,226,11836
11a_41,{1;1;2;-1;2;-3;2;4;-3;-3;4;4},624,626,826,14344
11a_42,{1;1;2;-1;2;1;-3;2;4;-3;-5;4;-5},940,942,2456,21256
11a_43,{1;1;2;-1;2;1;-3;2;4;3;3;3;4;4},536,590,1992,84380
11a_44,{-1;-1;-1;-1;-2;-2;1;3;2;2;2;3;3},300,330,482,75460
11a_45,{1;1;-2;1;3;2;2;-4;3;-4;-5;4;-5},1150,1152,2094,24660
11a_46,{1;1;-2;1;-2;-3;2;4;-3;-3;4;4},600,602,826,14344
11a_47,{1;1;-2;-2;1;3;-2;-2;-2;3;3},296,298,298,9076
11a_48,{-1;-1;-1;-2;1;-2;3;-2;-2;-4;3;-4},564,566,698,17476
11a_49,{1;1;1;-2;1;1;3;2;2;-4;3;-4},534,536,664,18168
11a_50,{1;1;1;2;-1;-3;2;4;3;3;-5;4;-5},1130,1132,1738,29164
11a_51,{-1;2;-1;-3;2;4;-3;-3;-5;4;-5},940,942,942,3820
11a_52,{1;1;1;2;-1;2;-3;2;-3;-3;-2;-4;3;-4},1064,1066,1970,86036
11a_53,{-1;-1;-1;-1;2;-1;2;-1;-3;2;-3},274,276,276,10112
11a_54,{-1;-1;-2;1;-2;3;-2;3;-2;-4;3;-4},778,780,1032,12080
11a_55,{1;1;-2;1;3;-2;-2;-2;-2;-2;3},198,200,200,12946
11a_56,{1;1;2;-1;2;1;-3;2;-3;-3;-3;-4;3;-4},536,538,1768,98540
11a_57,{-1;-1;-1;-1;2;2;1;3;-2;-2;-2;3;3},286,300,482,75460
11a_58,{1;1;-2;1;-2;-3;2;4;-3;-3;-3;4},556,558,768,15400
11a_59,{1;1;-2;1;-2;-3;2;-3;-4;3;5;-4;5},1158,1160,2168,23878
11a_60,{1;1;1;1;-2;1;3;2;2;-4;3;-4},434,436,570,20244
11a_61,{1;1;2;-1;2;-3;2;4;3;3;-5;4;-5},1218,1220,2082,24540
11a_62,{-1;-1;-1;-1;-1;2;-1;-1;-3;2;-3},168,170,170,15580
11a_63,{-1;-1;-2;1;-2;-2;3;-2;-2;-4;3;-4},536,538,722,17236
11a_64,{-1;-1;-1;-1;-2;1;3;-2;-2;-4;3;-4},488,490,570,20244
11a_65,{-1;-1;-1;-2;1;-2;-3;2;4;-3;-5;4;-5},1094,1096,1796,28158
11a_66,{-1;-1;-1;-3;2;-3;-1;2;2;-1;2},326,328,328,9072
11a_67,{-1;-1;-4;3;-4;-2;3;3;-2;3;1;-2},876,878,1054,12308
11a_68,{-1;-3;2;-3;-1;2;2;2;2;-1;2},302,304,304,9432
11a_69,{1;1;2;-1;2;2;-3;2;-3;-3;-2;-4;3;-4},996,998,2042,82916
11a_70,{1;1;1;-2;1;3;-2;-1;3;-4;3;-2;3;-4},1134,1484,2636,77456
11a_71,{1;1;3;3;-2;3;-2;1;-2;1;-2},406,408,408,7256
11a_72,{1;1;3;-2;3;-2;-2;3;-2;1;-2},436,438,438,6788
11a_73,{-1;2;-1;2;-1;2;-1;2;-3;2;-3},506,508,508,5776
11a_74,{-1;2;-1;2;2;2;-3;2;2;2;-3},226,228,228,12434
11a_75,{-1;2;-1;2;2;2;2;3;-2;-4;3;-4},476,478,548,21040
11a_76,{-1;-1;2;2;-3;-1;2;-3;2;-1;2},498,500,500,6018
11a_77,{-1;-1;-1;-2;1;-2;3;-2;3;-4;3;-4},604,606,746,16076
11a_78,{1;1;1;2;-1;2;-3;2;2;-4;3;-2;-4;-3},750,824,1980,94436
11a_79,{-1;-1;-3;2;-3;2;-1;2;-1;-1;2},432,434,434,6668
11a_80,{-1;-1;-3;2;-3;2;2;-1;2;-1;2},410,412,412,6992
11a_81,{-1;2;-1;2;2;-1;2;2;-3;2;-3},364,366,366,8052
11a_82,{1;1;-2;1;-2;-2;3;-2;-2;-2;3},256,258,258,11126
11a_83,{1;1;1;-2;1;1;-2;3;-2;3;3},264,266,266,10652
11a_84,{1;1;-2;1;-2;-2;-2;-3;2;4;-3;4},538,540,638,18676
11a_85,{1;1;1;2;-1;-3;2;-3;4;-3;4;4},568,570,686,17716
11a_86,{-1;-1;2;2;2;2;-1;2;-3;2;-3},250,252,252,10880
11a_87,{1;1;2;-1;2;2;3;-2;-4;-3;2;-3;-3;-4},740,742,2138,83262
11a_88,{-1;-1;-1;2;2;2;-1;2;-3;2;-3},262,264,264,10466
11a_89,{-1;2;-1;2;2;2;3;-2;3;-4;3;-4},576,578,698,17036
11a_90,{-1;-1;-1;2;-1;2;3;-2;3;-4;3;-4},528,530,746,16076
11a_91,{-1;-1;2;-1;2;2;3;-2;3;-4;3;-4},610,612,780,15440
11a_92,{-1;-1;-1;2;-1;-1;2;2;-3;2;-3},256,258,258,10820
11a_93,{-1;-1;-1;-2;1;3;-2;3;3;-4;3;-4},546,548,660,18544
11a_94,{1;1;1;1;2;2;-1;2;2;3;-2;3;3},320,322,454,82844
11a_95,{1;1;1;2;-1;2;2;3;-2;3;4;-3;4;4},646,648,1424,116984
11a_96,{-1;2;-1;2;-3;2;4;-3;-5;4;-5},980,982,982,3714
11a_97,{-1;-1;-2;1;3;3;3;-2;3;-4;3;-4},562,564,714,17596
11a_98,{-1;-1;-2;1;3;-2;3;4;-3;4;-5;4;-5},1196,1198,2180,23998
11a_99,{-1;2;-1;2;-3;2;2;-3;2;2;-3},400,402,402,7332
11a_100,{1;1;-2;1;3;2;2;2;3;-4;3;-4},580,610,782,15052
11a_101,{1;1;1;4;3;3;-2;3;4;-2;-2;-3;-1;2},1062,1218,2072,83868
11a_102,{1;1;-2;1;3;-2;-1;-4;3;-2;3;3;3;-4},930,1196,2460,78600
11a_103,{1;1;-5;-3;4;-5;-2;-3;4;2;2;-3;2;-1;2},1914,3668,6684,121552
11a_104,{1;1;1;-4;-2;3;-4;-2;3;-1;-2;3;-1;2},1000,1112,2802,69270
11a_105,{1;1;1;-2;1;3;2;2;2;-4;3;-4},508,510,618,19164
11a_106,{1;1;-2;1;3;-2;-2;-2;-2;3;3},242,244,244,10936
11a_107,{-1;-1;-2;1;-2;-2;-3;2;4;3;3;3;4;4},646,710,1522,107164
11a_108,{1;1;-2;-2;-2;1;-2;-2;3;-2;3},264,266,266,10622
11a_109,{1;1;-2;1;-2;3;-2;-2;-2;3;3},282,284,284,9842
11a_110,{1;1;-2;1;-2;-3;2;-3;-3;4;-3;4},542,544,782,15476
11a_111,{1;1;-2;1;-2;-2;-3;2;4;-3;4;4},576,578,718,17044
11a_112,{-1;-1;-3;2;2;2;-1;2;-3;-1;2},366,368,368,7656
11a_113,{-1;-1;-1;2;-1;-1;-3;2;-1;2;-3},330,332,332,9234
11a_114,{1;1;1;-4;-4;3;-2;3;-4;2;2;3;-1;2},802,804,2096,84300
11a_115,{1;1;1;4;3;-2;3;4;-2;-2;-2;-3;-1;2},958,1170,1920,90036
11a_116,{1;1;1;4;4;3;-2;3;4;1;-2;-3;-1;2},666,778,2248,86706
11a_117,{1;1;1;2;-1;2;-3;2;4;-3;4;4},554,556,684,17680
11a_118,{-1;2;-1;2;3;-2;3;-4;3;3;3;-4},562,564,804,15200
11a_119,{-1;2;-1;2;3;-2;3;3;4;-3;-5;4;-5},1176,1178,2084,24958
11a_120,{-1;-1;-1;-2;1;-2;-2;3;-2;-4;3;-4},522,524,652,18352
11a_121,{-1;2;-1;-3;2;-3;4;-3;-5;4;-5},986,988,988,3734
11a_122,{-1;-1;-2;1;3;-2;-2;-4;3;-2;3;-4},794,796,1028,12338
11a_123,{1;1;1;2;-1;2;3;-2;3;2;-4;3;-2;3;4;4},948,1314,5620,456850
11a_124,{1;1;1;2;2;-3;2;-1;2;3;3;3;2},488,498,774,51662
11a_125,{1;1;-2;3;3;-2;1;-2;3;1;-2},518,520,520,5986
11a_126,{1;1;-2;-2;3;-2;1;-2;3;3;-2},434,436,436,6752
11a_127,{1;1;-2;1;1;-2;1;3;-2;3;3},356,358,358,8396
11a_128,{1;-2;-1;3;-2;-1;3;-2;-4;3;5;-4;5},1262,1354,3176,17824
11a_129,{-1;-1;-1;2;-3;-1;2;-3;-1;-1;2},342,344,344,9248
11a_130,{-1;-1;3;-4;-2;3;-4;-2;-2;3;1;-2},986,988,1124,11484
11a_131,{-1;-1;-3;2;2;-1;2;-3;-1;-1;2},382,384,384,7512
11a_132,{1;1;1;-4;3;-4;-2;3;-1;-2;3;1;1;-2},698,926,2080,96364
11a_133,{1;1;2;-1;-3;2;4;3;3;3;-5;4;-5},1168,1170,1788,28462
11a_134,{1;1;-2;1;3;2;2;2;-4;3;-4;-4},558,560,680,17808
11a_135,{-1;2;-1;2;-3;2;-1;2;3;-4;3;-4},1078,1080,1320,9916
11a_136,{-1;-1;-2;3;-2;1;-2;-4;3;-2;3;-4},1086,1092,1264,10504
11a_137,{-1;-1;2;-1;2;1;3;-2;-1;-4;3;-2;-4;3},1004,1188,3524,55096
11a_138,{1;1;-2;1;-2;1;3;-2;-1;3;-2;-4;3;-4},1186,1644,3244,59260
11a_139,{1;1;1;-2;1;3;-2;-2;-2;3;3},248,250,250,10846
11a_140,{1;1;1;-2;1;-2;-3;2;4;-3;4;4},502,504,684,17680
11a_141,{-1;-1;2;-1;2;-1;2;3;-2;-4;3;-4},746,748,1000,12444
11a_142,{-1;-1;-1;-1;2;-1;-1;-1;-3;2;-3},184,186,186,15094
11a_143,{-1;-1;-2;1;-2;3;-2;-2;-2;-4;3;-4},532,534,708,17440
11a_144,{-1;-1;-1;-1;-1;-2;1;3;-2;-4;3;-4},398,400,452,24240
11a_145,{-1;-1;-2;1;-2;-2;-3;2;4;-3;-5;4;-5},1146,1148,1886,27138
11a_146,{-1;-1;-1;-3;2;2;-1;2;-3;-1;2},348,350,350,8142
11a_147,{1;1;-2;1;3;-2;1;3;3;-2;-2},396,398,398,7862
11a_148,{1;1;2;-1;3;-2;1;3;2;2;4;-3;-5;4;-5},1770,2396,6638,118870
11a_149,{-1;2;-1;2;3;3;-4;3;-2;3;-4;3},1008,1010,1150,11486
11a_150,{-1;-1;-4;-2;3;-4;-2;1;-2;3;-2;-2},834,836,976,13924
11a_151,{-1;-1;-1;2;-1;-3;2;-1;-3;2;2},348,350,350,8774
11a_152,{-1;-1;-2;1;3;-2;-4;3;-2;-4;3;3},812,814,1046,12310
11a_153,{1;1;1;2;-1;-3;2;4;-3;-3;-3;4},532,534,642,18324
11a_154,{1;1;1;2;-1;-3;2;-3;-4;3;5;-4;5},1106,1108,1822,28514
11a_155,{-1;-1;-2;1;3;2;-1;-4;-3;2;2;-3;-3;-4},992,1060,2942,63246
11a_156,{-1;-1;-1;2;-1;-1;-3;2;2;2;-3},244,246,246,11308
