knot name,braid rep,min cell count from kht++,greedy matching cell count,lex matching cell count,total cell count of delooped complex,mgr acyclic
12a_1034,{-1;2;-1;-2;3;-2;-3;4;5;5;4;-3;-2;4;-5},1616,2040,7576,102384,yes
12a_1035,{-1;2;-3;4;2;3;1;1;2;2;3;3;3;3;-2;4},1476,2620,5528,426708,yes
12a_1036,{-1;2;-3;2;1;1;1;1;1;2;2;-3;2},520,552,636,60224,yes
12a_1037,{1;1;2;-1;2;2;3;-2;4;-3;2;4;3;3;5;-4;5},2894,3902,13990,800030,yes
12a_1038,{1;-2;1;2;2;3;-4;3;-2;3;3;-4;3;2},1492,1492,2760,67736,yes
12a_1039,{-1;-1;-1;2;-3;4;-1;2;-3;4;4;4},572,572,572,20976,yes
12a_1040,{1;-2;-3;4;-5;1;2;-3;2;-5;-5;4;-5},1654,1758,2054,25494,yes
12a_1041,{-1;2;3;3;3;3;2;-1;2;-3;2;-1;2},770,860,1040,41090,yes
12a_1042,{-1;2;3;3;2;-1;-1;-1;2;-3;2;-1;2},746,864,1260,34850,yes
12a_1043,{-1;2;-3;2;-3;2;1;1;2;-3;-4;3;2;-4},1540,1612,3736,49684,yes
12a_1044,{-1;2;3;-4;3;-4;3;-2;3;1;-4;3;1;2},2256,2400,3864,51712,yes
12a_1045,{-1;2;3;-4;-1;2;-3;2;2;2;2;3;3;-4},1000,1140,1900,87680,yes
12a_1046,{-1;2;-3;4;5;-1;-2;-4;5;4;3;-2;3;3;4},2268,2488,7760,99808,yes
12a_1047,{1;-2;-2;-2;-2;1;1;-2;-2;1;1;-2},284,284,284,28620,yes
12a_1048,{1;-2;-2;1;1;-2;-3;1;-3;-2;3;-2;1},648,810,1234,33910,yes
12a_1049,{-1;2;3;-1;3;-2;3;4;-2;-2;-2;-2;-3;4},1226,1338,1642,99148,yes
12a_1050,{1;-2;-3;4;-3;2;-3;2;4;3;1;-2;3;-2},1980,2306,4580,43736,yes
12a_1051,{1;-2;1;1;1;1;1;-2;-2;1;1;-2},218,218,218,37824,yes
12a_1052,{1;-2;1;2;2;-3;-3;2;2;-3;2;-3;2},750,750,950,40676,yes
12a_1053,{1;1;-3;-3;-2;1;-2;3;-2;1;1;-2;-2},714,756,930,45398,yes
12a_1054,{-1;2;-1;-2;-3;-3;4;-3;2;-3;2;-3;2;3;4;-3},2048,2384,8832,306848,yes
12a_1055,{-1;4;5;-4;3;2;-1;-2;-4;-3;-5;4;3;3;-2;3;-2},3578,4740,22344,530424,yes
12a_1056,{-1;-1;2;2;-3;-1;2;-1;2;2;3;3;2},632,632,1088,37104,yes
12a_1057,{1;2;-3;2;3;-4;3;2;-4;-5;1;-4;-2;3;-4;5;-4},2486,4938,27270,470122,yes
12a_1058,{-1;3;2;4;5;-1;-4;-2;3;-2;-4;-3;-5;4;3;3;-2},3052,4724,24148,508848,yes
12a_1059,{-1;2;3;3;3;3;2;2;-1;2;-3;2;2},556,648,734,55316,yes
12a_1060,{-1;-1;3;3;2;2;-1;2;-1;-3;2;2;2},568,568,728,55866,yes
12a_1061,{-1;2;3;3;2;2;-1;2;-3;2;-1;-1;2},762,1078,1364,31160,yes
12a_1062,{-1;2;1;3;1;3;-4;3;-2;3;3;-4;3;2},1648,1648,2606,76424,yes
12a_1063,{1;2;-3;-4;-4;2;3;3;-4;3;1;-4;3;-2},2016,2304,3160,55264,yes
12a_1064,{-1;2;2;2;-1;2;-3;2;-1;3;-1;3;2},546,562,930,43868,yes
12a_1065,{1;-2;3;-2;3;-4;3;-2;4;1;-2;3;-2;4},1872,1948,4128,51340,yes
12a_1066,{1;2;-3;2;2;2;-3;-3;2;2;1;-3;-2},616,676,984,39384,yes
12a_1067,{1;-2;3;3;-4;3;-2;4;1;-2;3;-2;4;3},1526,1558,3830,51998,yes
12a_1068,{1;-2;1;2;3;4;-3;4;3;-2;-2;3;3;-2;-2;-3},1136,1520,7232,326608,yes
12a_1069,{1;1;-5;4;-5;3;4;-2;-3;4;1;-2;-3;2;2;-1;2},3302,7254,19188,628524,yes
12a_1070,{-1;2;3;-4;-1;-2;3;-4;3;2;2;2;3;-4},1698,1842,3106,60580,yes
12a_1071,{-1;2;3;3;2;-1;2;-3;-1;2;2;2;-1},684,870,1246,34030,yes
