knot name,braid rep,min cell count from kht++,greedy matching cell count,lex matching cell count,total cell count of delooped complex,mgr acyclic
3_1,{1;1;1},4,4,4,14,yes
4_1,{1;-2;1;-2},12,12,12,20,yes
5_1,{1;1;1;1;1},6,6,6,122,yes
5_2,{1;1;1;2;-1;2},18,18,22,152,yes
6_1,{1;1;2;-1;-3;2;-3},50,50,64,226,yes
6_2,{1;1;1;-2;1;-2},22,22,22,152,yes
6_3,{1;1;-2;1;-2;-2},24,24,24,140,yes
7_1,{1;1;1;1;1;1;1},8,8,8,1094,yes
7_2,{1;1;1;2;-1;2;3;-2;3},76,76,128,1562,yes
7_3,{1;1;1;1;1;2;-1;2},28,28,32,1340,yes
7_4,{1;1;2;-1;2;2;3;-2;3},80,80,134,1502,yes
7_5,{1;1;1;1;2;-1;2;2},32,32,38,1184,yes
7_6,{1;1;-2;1;3;-2;3},64,64,64,226,yes
7_7,{-1;2;-1;2;-3;2;-3},70,70,70,206,yes
8_1,{1;1;2;-1;2;3;-2;-4;3;-4},212,212,372,2320,yes
8_2,{1;1;1;1;1;-2;1;-2},32,32,32,1340,yes
8_3,{1;1;2;-1;-3;2;-3;-4;3;-4},208,208,374,2332,yes
8_4,{-1;-1;-1;2;-1;2;3;-2;3},92,92,128,1562,yes
8_5,{1;1;1;-2;1;1;1;-2},42,42,42,1136,yes
8_6,{1;1;1;1;2;-1;-3;2;-3},88,88,102,1918,yes
8_7,{-1;-1;-1;-1;2;-1;2;2},38,38,38,1184,yes
8_8,{-1;-1;-1;-2;1;3;-2;3;3},98,98,118,1726,yes
8_9,{1;1;1;-2;1;-2;-2;-2},40,40,40,1148,yes
8_10,{-1;-1;-1;2;-1;-1;2;2},46,46,46,1016,yes
8_11,{1;1;2;-1;2;2;-3;2;-3},100,100,134,1502,yes
8_12,{1;-2;1;3;-2;-4;3;-4},168,168,168,360,yes
8_13,{1;1;-2;1;-2;-2;-3;2;-3},106,106,134,1502,yes
8_14,{1;1;1;2;-1;2;-3;2;-3},104,104,128,1562,yes
8_15,{1;1;-2;1;3;2;2;2;3},100,100,132,1498,yes
8_16,{-1;-1;2;-1;-1;2;-1;2},66,66,66,744,yes
8_17,{1;1;-2;1;-2;1;-2;-2},64,64,64,756,yes
8_18,{1;-2;1;-2;1;-2;1;-2},88,88,88,556,yes
8_19,{1;1;1;2;1;1;1;2},16,22,42,1136,yes
8_20,{1;1;1;-2;-1;-1;-1;-2},22,22,42,1136,yes
8_21,{1;1;1;2;-1;-1;2;2},34,40,46,1016,yes
9_1,{1;1;1;1;1;1;1;1;1},10,10,10,9842,yes
9_2,{1;1;1;2;-1;2;3;-2;3;4;-3;4},322,322,746,16076,yes
9_3,{1;1;1;1;1;1;1;2;-1;2},38,38,42,12032,yes
9_4,{1;1;1;1;1;2;-1;2;3;-2;3},118,118,186,13766,yes
9_5,{1;1;2;-1;2;2;3;-2;3;4;-3;4},338,338,780,15440,yes
9_6,{1;1;1;1;1;1;2;-1;2;2},46,46,52,10580,yes
9_7,{1;1;1;1;2;-1;2;3;-2;3;3},134,134,222,12206,yes
9_8,{1;1;-2;1;-2;-3;2;4;-3;4},274,274,372,2320,yes
9_9,{1;1;1;1;1;2;-1;2;2;2},50,50,58,10112,yes
9_10,{1;1;2;-1;2;2;2;2;3;-2;3},130,130,204,12986,yes
9_11,{-1;-1;-1;-1;2;-1;-3;2;-3},102,102,102,1918,yes
9_12,{1;1;-2;1;3;-2;3;4;-3;4},266,266,374,2332,yes
9_13,{1;1;1;1;2;-1;2;2;3;-2;3},142,142,212,12698,yes
9_14,{-1;-1;-2;1;3;-2;3;-4;3;-4},292,292,374,2332,yes
9_15,{-1;-1;-1;-2;1;3;-2;-4;3;-4},258,258,310,2748,yes
9_16,{1;1;1;1;2;2;-1;2;2;2},66,66,74,8432,yes
9_17,{-1;2;-1;2;2;2;-3;2;-3},120,120,120,1658,yes
9_18,{1;1;1;2;-1;2;2;2;3;-2;3},146,146,218,12518,yes
9_19,{-1;2;-1;2;2;3;-2;-4;3;-4},288,288,358,2428,yes
9_20,{1;1;1;-2;1;3;-2;3;3},118,118,118,1726,yes
9_21,{-1;-1;-2;1;-2;3;-2;-4;3;-4},282,282,372,2320,yes
9_22,{-1;2;-1;2;-3;2;2;2;-3},138,138,138,1478,yes
9_23,{1;1;1;2;-1;2;2;3;-2;3;3},154,154,244,11354,yes
9_24,{1;1;-2;1;3;-2;-2;-2;3},132,132,132,1498,yes
9_25,{1;1;-2;1;3;2;2;-4;3;-4},276,276,358,2388,yes
9_26,{-1;-1;-1;2;-1;2;-3;2;-3},128,128,128,1562,yes
9_27,{1;1;-2;1;-2;-2;3;-2;3},134,134,134,1502,yes
9_28,{1;1;-2;1;3;-2;-2;3;3},142,142,142,1396,yes
9_29,{1;-2;-2;3;-2;1;-2;3;-2},194,194,194,1142,yes
9_30,{-1;-1;2;2;-1;2;-3;2;-3},150,150,150,1340,yes
9_31,{1;1;-2;1;-2;3;-2;3;3},140,140,140,1442,yes
9_32,{-1;-1;-3;2;-3;-1;2;-1;2},172,172,172,1272,yes
9_33,{-1;-3;2;-3;-1;2;2;-1;2},184,184,184,1152,yes
9_34,{-1;2;-1;2;-3;2;-1;2;-3},224,224,224,976,yes
9_35,{1;1;2;-1;2;2;3;-2;-2;4;-3;2;4;3},512,644,2036,93692,yes
9_36,{-1;-1;-1;2;-1;-1;-3;2;-3},118,118,118,1756,yes
9_37,{1;1;-2;1;3;-2;-1;-4;3;-2;3;-4},500,636,1292,10632,yes
9_38,{1;1;2;2;-3;2;-1;2;3;3;2},228,232,436,6752,yes
9_39,{-1;-1;-2;1;3;2;-1;-4;-3;2;-3;-4},394,424,1292,10632,yes
9_40,{1;-2;1;3;-2;1;3;-2;3},224,224,224,1016,yes
9_41,{-1;-1;-2;1;3;2;2;-4;-3;2;-3;-4},422,448,1028,12338,yes
9_42,{-1;-1;-1;2;1;1;-3;2;-3},60,60,118,1756,yes
9_43,{1;1;1;2;1;1;-3;2;-3},50,60,118,1756,yes
9_44,{1;1;1;2;-1;-1;-3;2;-3},90,104,118,1756,yes
9_45,{-1;-1;-2;1;-2;-1;-3;2;-3},74,78,176,1184,yes
9_46,{-1;2;-1;2;-3;-2;1;-2;-3},76,76,224,976,yes
9_47,{-1;2;-1;2;3;2;-1;2;3},82,92,224,976,yes
9_48,{-1;-1;-2;1;-2;-1;3;-2;1;-2;3},132,164,512,6010,yes
9_49,{1;1;2;1;1;-3;2;-1;2;3;3},92,150,376,8298,yes
10_1,{1;1;2;-1;2;3;-2;3;4;-3;-5;4;-5},898,898,2168,23878,yes
10_2,{1;1;1;1;1;1;1;-2;1;-2},42,42,42,12032,yes
10_3,{1;1;2;-1;2;3;-2;-4;3;-4;-5;4;-5},882,882,2174,23938,yes
10_4,{-1;-1;-1;2;-1;2;3;-2;3;4;-3;4},390,390,746,16076,yes
10_5,{-1;-1;-1;-1;-1;-1;2;-1;2;2},52,52,52,10580,yes
10_6,{1;1;1;1;1;1;2;-1;-3;2;-3},126,126,140,17146,yes
10_7,{1;1;2;-1;2;3;-2;3;3;-4;3;-4},422,422,782,15476,yes
10_8,{1;1;1;1;1;-2;1;-2;-3;2;-3},134,134,186,13766,yes
10_9,{1;1;1;1;1;-2;1;-2;-2;-2},58,58,58,10112,yes
10_10,{1;1;-2;1;-2;-2;-3;2;-3;-4;3;-4},448,448,780,15440,yes
10_11,{1;1;1;1;2;-1;-3;2;-3;-4;3;-4},366,366,596,19792,yes
10_12,{-1;-1;-1;-1;-1;-2;1;3;-2;3;3},152,152,172,15226,yes
10_13,{1;1;2;-1;-3;2;4;-3;-5;4;-5},698,698,892,4054,yes
10_14,{1;1;1;1;1;2;-1;2;-3;2;-3},162,162,186,13766,yes
10_15,{-1;-1;-1;-1;2;-1;2;3;-2;3;3},156,156,222,12206,yes
10_16,{1;1;2;-1;2;2;-3;2;-3;-4;3;-4},418,418,780,15440,yes
10_17,{1;1;1;1;-2;1;-2;-2;-2;-2},60,60,60,10004,yes
10_18,{1;1;1;2;-1;2;-3;2;-3;-4;3;-4},434,434,746,16076,yes
10_19,{1;1;1;1;-2;1;-2;-2;-3;2;-3},168,168,212,12698,yes
10_20,{1;1;1;1;2;-1;2;3;-2;-4;3;-4},374,374,590,19636,yes
10_21,{1;1;2;-1;2;2;2;2;-3;2;-3},150,150,204,12986,yes
10_22,{1;1;1;1;2;-1;-3;2;-3;-3;-3},162,162,188,14650,yes
10_23,{1;1;-2;1;-2;-2;-2;-2;-3;2;-3},176,176,204,12986,yes
10_24,{1;1;2;-1;2;2;2;3;-2;-4;3;-4},402,402,638,18676,yes
10_25,{1;1;1;1;2;-1;2;2;-3;2;-3},178,178,212,12698,yes
10_26,{-1;-1;-1;2;-1;2;2;2;3;-2;3},182,182,218,12518,yes
10_27,{-1;-1;-1;-1;-2;1;-2;3;-2;3;3},188,188,222,12206,yes
10_28,{-1;-1;-2;1;-2;-2;-3;2;4;-3;4;4},436,436,718,17044,yes
10_29,{1;1;1;-2;1;3;-2;-4;3;-4},310,310,310,2748,yes
10_30,{1;1;2;-1;2;2;3;-2;3;-4;3;-4},462,462,780,15440,yes
10_31,{1;1;1;2;-1;-3;2;-3;-3;-4;3;-4},432,432,660,18544,yes
10_32,{-1;-1;-1;2;-1;2;2;3;-2;3;3},190,190,244,11354,yes
10_33,{1;1;2;-1;2;-3;2;-3;-3;-4;3;-4},468,468,782,15476,yes
10_34,{-1;-1;-1;-2;1;-2;-3;2;4;-3;4;4},416,416,684,17680,yes
10_35,{1;-2;1;-2;-3;2;4;-3;-5;4;-5},722,722,982,3714,yes
10_36,{1;1;1;2;-1;2;3;-2;3;-4;3;-4},438,438,746,16076,yes
10_37,{1;1;1;2;-1;-3;2;-3;-4;3;-4;-4},396,396,686,17716,yes
10_38,{1;1;1;2;-1;2;2;3;-2;-4;3;-4},426,426,652,18352,yes
10_39,{1;1;1;2;-1;2;2;2;-3;2;-3},174,174,218,12518,yes
10_40,{-1;-1;-1;-2;1;-2;-2;3;-2;3;3},196,196,244,11354,yes
10_41,{-1;2;-1;2;2;-3;2;4;-3;4},358,358,358,2428,yes
10_42,{1;1;-2;1;-2;3;-2;-4;3;-4},372,372,372,2320,yes
10_43,{1;1;-2;1;3;-2;-4;3;-4;-4},340,340,340,2544,yes
10_44,{1;1;-2;1;3;-2;3;-4;3;-4},374,374,374,2332,yes
10_45,{1;-2;1;-2;3;-2;3;-4;3;-4},408,408,408,2120,yes
10_46,{1;1;1;1;1;-2;1;1;1;-2},60,60,60,10100,yes
10_47,{-1;-1;-1;-1;-1;2;-1;-1;2;2},66,66,66,9008,yes
10_48,{-1;-1;-1;-1;2;2;-1;2;2;2},74,74,74,8432,yes
10_49,{1;1;1;1;-2;1;3;2;2;2;3},158,158,210,12694,yes
10_50,{1;1;2;-1;2;2;-3;2;2;2;-3},192,192,258,11126,yes
10_51,{-1;-1;-2;1;-2;-2;3;-2;-2;3;3},210,210,282,9980,yes
10_52,{1;1;1;-2;1;1;-2;-2;-3;2;-3},202,202,258,10820,yes
10_53,{1;1;2;-1;2;-3;2;4;3;3;3;4},442,442,768,15400,yes
10_54,{-1;-1;-1;2;-1;-1;2;3;-2;3;3},182,182,266,10652,yes
10_55,{1;1;1;2;-1;-3;2;4;3;3;3;4},410,410,642,18324,yes
10_56,{1;1;1;2;-1;2;-3;2;2;2;-3},204,204,252,11186,yes
10_57,{-1;-1;-1;-2;1;-2;3;-2;-2;3;3},222,222,274,10148,yes
10_58,{-1;2;-1;-3;2;4;3;3;-5;4;-5},740,740,942,3820,yes
10_59,{-1;2;-1;2;-3;2;2;4;-3;4},382,382,382,2308,yes
10_60,{-1;2;-1;2;2;-3;2;-3;-2;-4;3;-4},484,484,980,12752,yes
10_61,{1;1;1;-2;1;1;1;-2;-3;2;-3},172,172,248,11402,yes
10_62,{-1;-1;-1;-1;2;-1;-1;-1;2;2},74,74,74,8504,yes
10_63,{1;1;-2;1;3;2;2;2;3;4;-3;4},430,430,782,15052,yes
10_64,{1;1;1;-2;1;1;1;-2;-2;-2},80,80,80,8036,yes
10_65,{-1;-1;-2;1;-2;3;-2;-2;-2;3;3},214,214,284,9842,yes
10_66,{1;1;1;-2;1;3;2;2;2;3;3},182,200,250,10846,yes
10_67,{1;1;1;3;-4;2;3;-4;-2;-2;3;2;-1;2},532,688,2340,81332,yes
10_68,{1;1;-2;1;-2;-2;-3;2;2;-4;3;-2;-4;-3},676,856,2036,93692,yes
10_69,{-1;-1;-2;1;3;-2;-1;-4;3;-2;3;-4},472,564,1292,10632,yes
10_70,{1;-2;1;3;-2;-2;-2;-4;3;-4},336,336,336,2520,yes
10_71,{-1;-1;2;-1;-3;2;2;4;-3;4},358,358,358,2388,yes
10_72,{1;1;1;1;2;2;-1;2;-3;2;-3},218,218,242,11132,yes
10_73,{-1;-1;-2;1;-2;-1;3;-2;3;-4;3;-4},382,382,1028,12212,yes
10_74,{1;1;2;-1;2;2;3;-2;-2;-4;3;2;-4;3},488,656,2036,93692,yes
10_75,{-1;2;-1;2;-3;2;2;-4;3;-2;-4;-3},508,556,1084,12476,yes
10_76,{1;1;1;1;2;-1;-3;2;2;2;-3},180,180,210,12694,yes
10_77,{-1;-1;-1;-1;-2;1;3;-2;-2;3;3},194,194,226,11836,yes
10_78,{1;1;2;-1;2;1;-3;2;4;-3;4;4},358,358,936,13340,yes
10_79,{1;1;1;-2;-2;1;1;-2;-2;-2},96,96,96,6356,yes
10_80,{1;1;1;-2;1;1;3;2;2;2;3},194,194,246,11308,yes
10_81,{1;1;-2;1;3;2;2;-4;-3;-3;-3;-4},450,524,750,15444,yes
10_82,{1;1;1;1;-2;1;-2;1;-2;-2},100,100,100,6444,yes
10_83,{-1;-1;-2;1;-2;3;-2;-2;3;-2;3},294,294,390,7500,yes
10_84,{1;1;1;-3;2;-3;2;2;-3;-1;2},312,312,360,8112,yes
10_85,{-1;-1;-1;-1;2;-1;-1;2;-1;2},102,102,102,6432,yes
10_86,{-1;-1;2;-1;2;-1;2;2;3;-2;3},284,284,356,8136,yes
10_87,{1;1;1;2;-1;-3;2;-3;2;-3;-3},268,268,324,9032,yes
10_88,{1;-2;1;3;-2;3;-2;-4;3;-4},480,480,480,1840,yes
10_89,{-1;2;-1;2;3;-2;-1;-4;-3;2;-3;-4},556,564,1540,8808,yes
10_90,{-1;-1;2;2;3;-1;-2;3;2;-1;2},232,248,500,6018,yes
10_91,{-1;-1;-1;2;-1;2;2;-1;2;2},118,118,118,5664,yes
10_92,{1;1;1;2;-3;2;-1;2;-3;2;2},316,316,356,8594,yes
10_93,{-1;-1;3;-2;3;2;-1;2;-1;-1;2},246,262,434,6668,yes
10_94,{1;1;1;-2;1;-2;-2;1;1;-2},132,132,132,4788,yes
10_95,{1;1;-2;-3;-3;-2;1;-2;3;-2;-2},240,300,420,7160,yes
10_96,{1;-2;-1;3;-2;-1;3;-4;3;-2;3;-4},612,668,1460,9824,yes
10_97,{1;1;2;-1;2;1;-3;2;-1;2;3;-4;3;-4},634,846,3016,61378,yes
10_98,{1;1;2;-3;2;2;-1;2;-3;2;2},346,346,392,8042,yes
10_99,{1;1;-2;1;1;-2;-2;1;-2;-2},136,136,136,4956,yes
10_100,{-1;-1;-1;2;-1;-1;2;-1;-1;2},122,122,122,5616,yes
10_101,{1;1;1;2;-1;3;-2;1;3;2;2;4;-3;4},650,874,2290,81326,yes
10_102,{-1;-1;2;-1;-3;2;-1;2;2;3;3},358,358,398,7446,yes
10_103,{-1;-1;-2;1;3;-2;-2;3;-2;-2;3},298,298,386,7484,yes
10_104,{-1;-1;-1;2;2;-1;2;-1;2;2},126,126,126,5160,yes
10_105,{1;1;-2;1;3;2;2;-4;-3;2;-3;-4},574,608,1028,12338,yes
10_106,{1;1;1;-2;1;-2;1;1;-2;-2},124,124,124,5268,yes
10_107,{1;1;4;-3;2;-3;4;-2;-2;-3;1;-2},484,492,1108,11394,yes
10_108,{1;1;-2;1;1;3;-2;1;-2;-3;-3},320,320,376,8298,yes
10_109,{1;1;-2;1;-2;-2;1;1;-2;-2},146,146,146,4344,yes
10_110,{1;-4;-3;2;-3;-4;2;2;2;3;1;-2},528,662,1004,12444,yes
10_111,{1;1;2;2;-3;2;2;-1;2;-3;2},368,368,400,7952,yes
10_112,{-1;-1;-1;2;-1;2;-1;2;-1;2},156,156,156,4324,yes
10_113,{1;1;1;2;-3;2;-1;2;-3;2;-3},376,378,424,7144,yes
10_114,{-1;-1;-2;1;3;-2;3;-2;3;-2;3},372,372,480,6168,yes
10_115,{1;-2;1;3;2;2;-4;-3;2;-3;-3;-4},644,696,1048,11732,yes
10_116,{-1;-1;2;-1;-1;2;-1;2;-1;2},174,174,174,3976,yes
10_117,{-1;-1;-2;-2;3;-2;1;-2;3;-2;3},426,428,474,6478,yes
10_118,{1;1;-2;1;-2;-2;1;-2;1;-2},178,178,178,3760,yes
10_119,{1;1;-2;1;3;-2;1;-2;-3;-3;-2},278,278,482,6366,yes
10_120,{1;1;2;-1;-3;-2;1;4;3;2;2;3;3;4},608,704,2942,63246,yes
10_121,{1;1;2;-3;2;-1;2;-3;2;-3;2},452,456,532,5832,yes
10_122,{-1;-1;-2;3;-2;1;3;-2;3;-2;3},452,460,532,5794,yes
10_123,{1;-2;1;-2;1;-2;1;-2;1;-2},232,232,232,2948,yes
10_124,{1;1;1;1;1;2;1;1;1;2},22,28,60,10100,yes
10_125,{-1;-1;-1;-1;-1;2;1;1;1;2},28,28,60,10100,yes
10_126,{-1;-1;-1;-1;-1;-2;1;1;1;-2},48,56,60,10100,yes
10_127,{1;1;1;1;1;2;-1;-1;2;2},54,60,66,9008,yes
10_128,{1;1;1;2;1;1;2;2;3;-2;3},56,84,258,10820,yes
10_129,{-1;-1;-1;2;1;1;-3;2;1;-3;2},104,104,332,9560,yes
10_130,{1;1;1;-2;-1;-1;-2;-2;-3;2;-3},78,84,258,10820,yes
10_131,{1;1;1;2;-1;-1;2;2;3;-2;3},150,176,258,10820,yes
10_132,{1;1;1;-2;-1;-1;-2;-3;2;-3;-3},84,84,266,10652,yes
10_133,{1;1;1;2;-1;-1;2;3;-2;3;3},138,160,266,10652,yes
10_134,{1;1;1;2;1;1;2;3;-2;3;3},70,84,266,10652,yes
10_135,{-1;-1;-1;-2;1;-2;3;2;2;2;3},124,124,252,11186,yes
10_136,{{-1;-1;-2;3;-2;1;-2;-2;3;2;2},208,208,376,8408,yes
10_137,{1;-2;1;-2;3;2;2;-4;3;-4},236,236,382,2308,yes
10_138,{-1;2;-1;2;3;2;2;-4;3;-4},186,236,382,2308,yes
10_139,{1;1;1;1;2;1;1;1;2;2},26,40,74,8504,yes
10_140,{-1;-1;-1;2;1;1;1;2;3;-2;3},100,100,248,11402,yes
10_141,{-1;-1;-1;-1;2;1;1;1;2;2},38,40,74,8504,yes
10_142,{1;1;1;2;1;1;1;2;3;-2;3},74,100,248,11402,yes
10_143,{-1;-1;-1;-1;-2;1;1;1;-2;-2},56,68,74,8504,yes
10_144,{1;1;2;-1;2;1;-3;2;1;-3;-2},132,136,512,6120,yes
10_145,{-1;-1;-2;1;-2;-1;-3;-2;1;-2;-3},76,90,512,6010,yes
10_146,{-1;-1;2;-1;2;1;-3;2;-1;2;-3},156,200,512,6010,yes
10_147,{1;1;1;-3;2;-1;2;-3;-2;1;-2},142,142,386,7844,yes
10_148,{-1;-1;-1;-1;-2;1;-2;1;1;-2},84,92,106,6072,yes
10_149,{1;1;1;1;2;-1;2;-1;2;2},80,86,100,6444,yes
10_150,{1;1;1;-2;1;1;3;-2;-1;3;2},94,104,332,9560,yes
10_151,{-1;-1;-1;-2;1;1;-3;2;-1;-3;2},148,192,332,9560,yes
10_152,{1;1;1;2;2;1;1;2;2;2},42,56,96,6356,yes
10_153,{-1;-1;-1;-2;-1;-1;3;2;2;2;3},70,116,246,11308,yes
10_154,{1;1;2;-1;2;1;3;2;2;2;3},88,102,360,7952,yes
10_155,{-1;-1;-1;-2;1;1;-2;1;1;-2},86,108,122,5616,yes
10_156,{-1;-1;-1;2;1;1;-3;-2;1;-2;-3},118,128,332,9234,yes
10_157,{-1;-1;-1;-2;-2;1;-2;1;-2;-2},106,112,126,5160,yes
10_158,{-1;-1;-1;-2;1;1;3;2;-1;2;3},148,166,332,9234,yes
10_159,{1;1;1;2;-1;2;-1;-1;2;2},92,104,124,5268,yes
10_160,{1;1;1;2;1;1;-3;2;-1;2;-3},86,128,332,9234,yes
10_161,{1;1;1;2;-1;2;1;1;2;2},38,46,124,5268,yes
10_162,{-1;-1;-2;1;1;-2;-2;-1;3;-2;3},132,158,384,7418,yes
10_163,{1;1;-2;-1;-1;3;2;-1;2;2;3},164,184,376,7968,yes
10_164,{1;1;-2;1;-2;-2;-3;2;-1;2;-3},256,300,440,6952,yes
10_165,{-1;-1;-2;1;3;-2;1;-2;-3;-3;-2},202,226,482,6366,yes
11a_1,{1;1;1;2;-1;2;2;-3;2;-3;-2;-4;3;-4},704,704,1784,96368,yes
11a_2,{1;1;-4;3;-4;3;2;2;3;3;1;-2},544,614,856,14320,yes
11a_3,{-1;-1;-1;-3;2;-3;2;-1;-1;2;2},304,304,304,9288,yes
11a_4,{-1;-1;-1;-2;1;3;3;-2;3;-4;3;-4},590,590,706,17668,yes
11a_5,{-1;2;-1;2;2;3;-2;-4;-3;-3;5;-4;5},1180,1180,2002,25644,yes
11a_6,{-1;2;-1;2;2;3;3;-2;3;-4;3;-4},722,722,842,14276,yes
11a_7,{-1;-1;-1;-1;2;2;-1;2;-3;2;-3},242,242,242,11132,yes
11a_8,{-1;-1;-2;1;-2;3;3;-2;3;-4;3;-4},658,658,866,14036,yes
11a_9,{-1;2;-1;2;-3;2;2;2;2;2;-3},206,206,206,12926,yes
11a_10,{1;1;2;-1;2;2;2;-3;2;-3;-2;-4;3;-4},616,616,1732,98384,yes
11a_11,{-1;-1;2;-1;2;3;3;-2;3;-4;3;-4},698,698,866,14036,yes
11a_12,{-1;2;-1;2;2;3;-2;-4;3;3;3;-4},588,588,738,16084,yes
11a_13,{-1;2;-1;2;2;3;-2;3;4;-3;-5;4;-5},1222,1222,2078,24898,yes
11a_14,{1;1;-2;-2;1;-2;3;-2;-2;3;3},320,320,320,8792,yes
11a_15,{1;1;-2;-2;1;-2;3;-2;-2;-2;3},294,294,294,9740,yes
11a_16,{1;1;-2;-2;1;-2;-2;-3;2;4;-3;4},614,614,754,16144,yes
11a_17,{1;1;5;-4;5;-3;-3;-4;2;2;3;1;-2},1096,1204,2096,23872,yes
11a_18,{-1;-1;4;3;3;3;4;2;2;-3;-1;2},594,626,774,15012,yes
11a_19,{1;1;-2;1;-2;1;3;-2;-2;3;3},388,388,388,7376,yes
11a_20,{1;1;-2;1;3;2;2;-4;3;3;3;-4},540,620,750,15444,yes
11a_21,{1;1;-2;1;3;2;2;3;4;-3;-5;4;-5},1128,1128,2170,23444,yes
11a_22,{1;1;1;-2;1;1;3;-2;-2;3;3},264,264,264,10648,yes
11a_23,{1;1;1;2;-1;-3;2;4;-3;-3;4;4},574,574,690,17040,yes
11a_24,{1;1;1;2;-1;-1;3;-2;-2;3;-2;3;-2},446,640,802,51652,yes
11a_25,{1;1;1;2;-1;-1;3;-2;3;-2;3;3;-2},470,616,810,51148,yes
11a_26,{1;1;3;-2;3;-2;-2;3;1;-2;-2},396,396,396,7440,yes
11a_27,{-1;-1;-1;-2;1;3;-2;3;-2;-4;3;-4},732,732,884,14032,yes
11a_28,{-1;-1;2;-1;2;2;2;-1;-3;2;-3},344,344,344,8144,yes
11a_29,{-1;-1;2;-1;2;-1;3;-2;-1;-4;3;2;-4;3},812,1052,3524,55096,yes
11a_30,{1;1;2;-1;2;-3;-2;1;-2;-2;3;-4;3;-4},990,1014,2690,68566,yes
11a_31,{1;1;-2;1;3;2;2;3;3;-4;3;-4},498,596,798,14884,yes
11a_32,{-1;-1;2;-1;2;-3;2;4;3;3;3;4},584,584,768,15400,yes
11a_33,{1;1;-2;-2;1;-2;-2;-2;3;-2;3},250,250,250,11108,yes
11a_34,{1;1;1;-2;1;-2;3;-2;-2;3;3},274,274,274,10148,yes
11a_35,{1;1;-2;1;-2;-2;3;-2;-2;3;3},282,282,282,9980,yes
11a_36,{-1;-1;-1;-2;1;-2;-2;-3;2;4;3;3;3;4},634,634,1344,121576,yes
11a_37,{1;1;2;-1;-3;2;-3;4;-3;-3;4;4},626,626,802,15184,yes
11a_38,{-1;-1;4;2;-3;4;2;-3;-3;1;2;-3;1;-2},1238,1394,3074,64524,yes
11a_39,{-1;-1;-1;2;-1;-3;2;4;3;3;3;4},494,494,642,18324,yes
11a_40,{1;1;1;1;-2;1;3;-2;-2;3;3},226,226,226,11836,yes
11a_41,{1;1;2;-1;2;-3;2;4;-3;-3;4;4},626,626,826,14344,yes
11a_42,{1;1;2;-1;2;1;-3;2;4;-3;-5;4;-5},942,942,2456,21256,yes
11a_43,{1;1;2;-1;2;1;-3;2;4;3;3;3;4;4},538,590,1992,84380,yes
11a_44,{-1;-1;-1;-1;-2;-2;1;3;2;2;2;3;3},302,330,482,75460,yes
11a_45,{1;1;-2;1;3;2;2;-4;3;-4;-5;4;-5},1152,1152,2094,24660,yes
11a_46,{1;1;-2;1;-2;-3;2;4;-3;-3;4;4},602,602,826,14344,yes
11a_47,{1;1;-2;-2;1;3;-2;-2;-2;3;3},298,298,298,9076,yes
11a_48,{-1;-1;-1;-2;1;-2;3;-2;-2;-4;3;-4},566,566,698,17476,yes
11a_49,{1;1;1;-2;1;1;3;2;2;-4;3;-4},536,536,664,18168,yes
11a_50,{1;1;1;2;-1;-3;2;4;3;3;-5;4;-5},1132,1132,1738,29164,yes
11a_51,{-1;2;-1;-3;2;4;-3;-3;-5;4;-5},942,942,942,3820,yes
11a_52,{1;1;1;2;-1;2;-3;2;-3;-3;-2;-4;3;-4},1066,1066,1970,86036,yes
11a_53,{-1;-1;-1;-1;2;-1;2;-1;-3;2;-3},276,276,276,10112,yes
11a_54,{-1;-1;-2;1;-2;3;-2;3;-2;-4;3;-4},780,780,1032,12080,yes
11a_55,{1;1;-2;1;3;-2;-2;-2;-2;-2;3},200,200,200,12946,yes
11a_56,{1;1;2;-1;2;1;-3;2;-3;-3;-3;-4;3;-4},538,538,1768,98540,yes
11a_57,{-1;-1;-1;-1;2;2;1;3;-2;-2;-2;3;3},288,300,482,75460,yes
11a_58,{1;1;-2;1;-2;-3;2;4;-3;-3;-3;4},558,558,768,15400,yes
11a_59,{1;1;-2;1;-2;-3;2;-3;-4;3;5;-4;5},1160,1160,2168,23878,yes
11a_60,{1;1;1;1;-2;1;3;2;2;-4;3;-4},436,436,570,20244,yes
11a_61,{1;1;2;-1;2;-3;2;4;3;3;-5;4;-5},1220,1220,2082,24540,yes
11a_62,{-1;-1;-1;-1;-1;2;-1;-1;-3;2;-3},170,170,170,15580,yes
11a_63,{-1;-1;-2;1;-2;-2;3;-2;-2;-4;3;-4},538,538,722,17236,yes
11a_64,{-1;-1;-1;-1;-2;1;3;-2;-2;-4;3;-4},490,490,570,20244,yes
11a_65,{-1;-1;-1;-2;1;-2;-3;2;4;-3;-5;4;-5},1096,1096,1796,28158,yes
11a_66,{-1;-1;-1;-3;2;-3;-1;2;2;-1;2},328,328,328,9072,yes
11a_67,{-1;-1;-4;3;-4;-2;3;3;-2;3;1;-2},878,878,1054,12308,yes
11a_68,{-1;-3;2;-3;-1;2;2;2;2;-1;2},304,304,304,9432,yes
11a_69,{1;1;2;-1;2;2;-3;2;-3;-3;-2;-4;3;-4},998,998,2042,82916,yes
11a_70,{1;1;1;-2;1;3;-2;-1;3;-4;3;-2;3;-4},1136,1484,2636,77456,yes
